id,price,room,district,subway,subway distance (min),square footage,livable space,kitchen space,floor,number of floors,construction year,parking,apartment type,house type,renovation,bathroom,balcony,elevator
284328061,17346553.0,1,Центральный,Площадь Восстания,13,37.6,24.2,,3,9,2025,Подземная,Новостройка,Монолитный,,,,9.0
282959701,7500000.0,1,Василеостровский,Василеостровская,18,26.1,22.3,,2,10,,Подземная,Вторичка,Монолитный,Косметический,1.0,,
294531289,23931708.0,1,Адмиралтейский,Балтийская,9,53.5,16.5,17.6,8,8,2023,Подземная,Новостройка,Монолитный,,,,
284780590,8051980.0,1,Василеостровский,Спортивная,5,23.7,20.0,,4,4,,,Вторичка,Кирпичный,Дизайнерский,1.0,,
262571736,48700000.0,2,Петроградский,Чкаловская,11,78.4,31.6,17.7,6,9,2022,Подземная,Новостройка,Монолитный,,,,
292246812,36000000.0,3,Адмиралтейский,Технологический институт,13,145.0,79.0,12.0,5,6,1893,Наземная,Вторичка,Кирпичный,Дизайнерский,1.0,,
250578804,70726917.0,3,Петроградский,Чкаловская,11,129.1,41.9,33.8,6,7,2022,Подземная,Новостройка,Монолитный,,,,
294009055,6200000.0,1,Фрунзенский,Бухарестская,3,26.23,15.8,,12,18,2023,,Вторичка,Монолитный,,,,
279351131,6869999.0,1,Красногвардейский,Ладожская,5,28.38,23.4,,3,15,2024,Подземная,Новостройка,Монолитный,,,,
279051866,4900000.0,1,Василеостровский,Василеостровская,20,16.98,,,1,4,1756,,Вторичка,Кирпичный,Евроремонт,1.0,,
273024267,9200000.0,1,Московский,Московские ворота,5,24.4,15.4,,13,16,2024,Подземная,Новостройка,Монолитный,,,,
284780151,7185082.0,1,Василеостровский,Спортивная,5,24.3,,,4,4,,,Вторичка,Кирпичный,Дизайнерский,1.0,1,
294696187,9278465.0,1,Фрунзенский,Волковская,18,23.0,11.1,4.4,14,14,2026,Подземная,Новостройка,Монолитно-кирпичный,,,,6.0
292324998,5400000.0,1,Василеостровский,Василеостровская,10,22.0,20.0,2.0,1,7,1917,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
285018072,9734165.0,1,Московский,Московские ворота,11,32.4,18.0,5.0,13,19,2023,Подземная,Новостройка,Монолитный,,1.0,1,
284780716,8576481.0,1,Василеостровский,Спортивная,5,31.9,,,4,4,,,Вторичка,Кирпичный,Дизайнерский,1.0,,
277297079,36577471.0,3,Центральный,Площадь Восстания,13,89.7,43.0,20.8,6,9,2025,Подземная,Новостройка,Монолитный,,,,9.0
294304007,11850000.0,2,Василеостровский,Приморская,6,60.8,22.8,17.3,4,13,2023,,Новостройка,Монолитный,,1.0,1,2.0
277296965,28126602.0,1,Центральный,Площадь Восстания,13,52.5,15.2,19.6,7,9,2025,Подземная,Новостройка,Монолитный,,,,9.0
292932190,14300000.0,2,Курортный,Беговая,29,65.2,25.9,11.7,3,7,2020,Наземная,Вторичка,Монолитно-кирпичный,Евроремонт,1.0,1,2.0
279507430,9259999.0,1,Василеостровский,Зенит,5,31.55,17.4,5.0,2,19,2025,"Подземная,",Новостройка,Монолитный,,1.0,,
292223862,29274975.0,3,Выборгский,,,107.57,46.1,39.8,2,9,,,Вторичка,,,,,
294144832,9342756.0,1,Адмиралтейский,Балтийская,6,23.2,14.8,3.0,2,7,2025,Открытая,Новостройка,Монолитный,,1.0,,2.0
272767871,17000000.0,3,Приморский,Беговая,15,90.0,48.1,14.0,16,20,2010,Наземная,Вторичка,Монолитный,Косметический,1.0,1,3.0
283268341,7991637.0,1,Василеостровский,Приморская,4,25.3,11.9,6.3,1,12,2025,Открытая,Новостройка,Монолитный,,1.0,,2.0
290649976,9970000.0,1,Приморский,Комендантский проспект,6,32.2,9.0,15.7,18,23,2018,Подземная,Вторичка,Монолитный,Евроремонт,1.0,1,2.0
287685850,60496512.0,4,Центральный,Площадь Восстания,13,127.3,62.6,23.1,6,9,2025,Подземная,Новостройка,Монолитный,,,,9.0
294507330,39500000.0,4,Московский,Электросила,14,144.75,76.4,11.3,11,12,2023,Подземная,Новостройка,Монолитный,,3.0,1,2.0
271710002,7150000.0,1,Московский,Фрунзенская,7,23.5,,,2,13,2021,Подземная,Новостройка,Монолитный,,,,
288848467,465000000.0,4,Петроградский,Крестовский остров,,272.0,89.0,98.2,5,7,2012,,Вторичка,Монолитно-кирпичный,Дизайнерский,,,
282487186,9359999.0,1,Василеостровский,Приморская,7,29.47,15.3,4.4,4,18,2024,Подземная,Новостройка,Монолитно-кирпичный,,1.0,,8.0
291632305,175000000.0,4,Центральный,,,135.0,30.0,53.5,4,4,2018,,Вторичка,Монолитно-кирпичный,Дизайнерский,,,
290942556,25999999.0,2,Центральный,Площадь Восстания,13,80.2,32.3,22.0,2,9,2025,Подземная,Новостройка,Монолитный,,,,9.0
294215511,7500000.0,1,Приморский,Проспект Просвещения,10,35.9,14.0,14.0,25,25,2022,Многоуровневая,Вторичка,,Косметический,1.0,1,3.0
279351205,16779999.0,2,Красногвардейский,Ладожская,5,79.85,28.9,44.3,5,15,2024,Подземная,Новостройка,Монолитный,,,,
294812937,46500000.0,3,Петроградский,Крестовский остров,20,105.0,52.6,19.4,6,9,2022,Подземная,Вторичка,Монолитный,Без,3.0,1,2.0
293496549,34066425.0,3,Петроградский,Крестовский остров,19,96.8,47.0,16.9,1,8,2022,"Подземная,",Новостройка,Монолитный,,1.0,1,
285457408,79990000.0,3,Петроградский,Крестовский остров,10,151.3,73.0,17.3,3,5,2008,,Вторичка,Монолитно-кирпичный,Дизайнерский,,,
293496610,30593335.0,2,Петроградский,Крестовский остров,3,70.7,37.7,14.5,7,8,2021,"Подземная,",Новостройка,Монолитный,,1.0,1,
286484031,58320000.0,5,Петроградский,Крестовский остров,11,201.8,107.0,19.8,1,6,2008,,Вторичка,Кирпичный,Без,,,
279351422,10969999.0,1,Красногвардейский,Ладожская,5,46.3,14.6,26.7,12,15,2024,Подземная,Новостройка,Монолитный,,,,
292438602,175000000.0,4,Центральный,Чернышевская,18,135.0,64.7,9.0,4,4,2015,,Вторичка,Кирпичный,Дизайнерский,2.0,,1.0
290590808,36397407.0,3,Красногвардейский,Новочеркасская,14,95.28,40.4,33.3,3,9,2024,Подземная,Новостройка,Монолитный,,1.0,,2.0
293498342,9503000.0,2,Невский,Рыбацкое,3,55.9,24.0,8.0,2,3,,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
279508160,37069999.0,4,Василеостровский,Приморская,10,101.8,45.9,33.0,10,19,2025,Подземная,Новостройка,Монолитный,,2.0,,
286484036,60950000.0,3,Петроградский,Крестовский остров,11,169.3,150.3,14.0,1,6,2008,,Вторичка,Монолитно-кирпичный,Без,,,
265781311,231000000.0,4,Петроградский,Крестовский остров,12,254.7,113.1,16.0,4,4,2022,Подземная,Новостройка,Монолитный,,,,
293317047,12834000.0,2,Невский,Рыбацкое,3,55.8,28.0,18.0,3,3,,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
291414267,14890000.0,1,Московский,Московские ворота,5,51.3,21.9,19.1,16,16,2024,Подземная,Новостройка,Монолитный,,,,
291060188,9424000.0,1,Невский,Рыбацкое,3,49.6,15.0,19.0,2,3,,,Вторичка,Кирпичный,Без,1.0,,1.0
285018225,21991638.0,3,Московский,Московские ворота,6,102.3,49.2,18.5,12,19,2022,Подземная,Новостройка,Монолитный,,2.0,1,
284595435,11385000.0,1,Невский,Рыбацкое,3,49.5,17.0,19.0,3,3,,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
294703212,27889265.0,3,Фрунзенский,Волковская,18,82.5,39.8,20.7,8,14,2026,Подземная,Новостройка,Монолитно-кирпичный,,,,6.0
293317053,8875000.0,1,Невский,Рыбацкое,3,35.5,20.0,5.0,3,3,,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
276667419,30075313.0,2,Красногвардейский,Новочеркасская,14,87.24,30.8,35.6,6,9,2024,Подземная,Новостройка,Монолитный,,2.0,,2.0
293317029,10416000.0,1,Невский,Рыбацкое,3,49.6,17.0,19.0,2,3,,,Вторичка,Кирпичный,Дизайнерский,1.0,,1.0
294535260,36989999.0,4,Василеостровский,Приморская,7,115.09,57.6,29.6,15,18,2024,Подземная,Новостройка,Монолитно-кирпичный,,3.0,,8.0
285396474,11400000.0,2,Невский,Рыбацкое,19,51.3,23.4,13.7,23,23,2023,Подземная,Вторичка,Блочный,Без,2.0,1,3.0
294679877,46420206.0,4,Красногвардейский,Новочеркасская,5,148.26,55.6,42.3,2,9,2023,Подземная,Новостройка,Монолитный,,2.0,,1.0
285457188,38900000.0,3,Центральный,Площадь Восстания,16,103.95,61.0,12.7,5,9,2021,,Вторичка,,Без,,,
279506975,31679999.0,4,Василеостровский,Приморская,6,106.6,52.4,27.8,19,20,2023,"Подземная,",Новостройка,Монолитный,,2.0,,2.0
289813601,140000000.0,4,Центральный,Звенигородская,5,227.6,124.0,16.0,2,9,2015,,Вторичка,Монолитно-кирпичный,Дизайнерский,,,
293105940,39177644.0,3,Василеостровский,Василеостровская,8,77.14,39.8,11.4,2,7,2024,Подземная,Новостройка,Монолитный,,,,2.0
282950896,465000000.0,4,Петроградский,Крестовский остров,9,272.0,167.2,20.0,5,7,2012,,Вторичка,Кирпичный,Дизайнерский,3.0,,1.0
291703813,41622300.0,4,Василеостровский,Василеостровская,11,112.25,57.0,18.1,7,9,2025,"Подземная,",Новостройка,Монолитный,,,,13.0
292205166,11800000.0,1,Выборгский,Политехническая,5,47.0,18.0,13.0,8,17,2007,Наземная,Вторичка,Панельный,Дизайнерский,1.0,1,2.0
